date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:39	438/438	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2012:09:40%20GMT	https://topmomo.me/robots.txt		(from )
19:09:39	64197/64197	---MCZ	200	added ('OK')	text/html	date:Sat,%2015%20Jan%202022%2012:09:40%20GMT	https://topmomo.me/	C:/My%20Web%20Sites/momox3/topmomo.me/index.html	(from )
19:09:40	12400/12400	---M--	200	added ('OK')	image/png	etag:%223847f371c4644801edc3e74b232de05d%22	https://i.imgur.com/hm7QMr7.png	C:/My%20Web%20Sites/momox3/i.imgur.com/hm7QMr7.png	(from https://topmomo.me/)
19:09:40	695/695	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Jan%202022%2012:09:42%20GMT	https://topmomo.me/index-2.html	C:/My%20Web%20Sites/momox3/topmomo.me/index-2.html	(from https://topmomo.me/)
19:09:41	126058/126058	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Jan%202022%2006:53:43%20GMT	https://topmomo.me/assets/cam/frontend-user/assets/css2/bootstrap.min.css	C:/My%20Web%20Sites/momox3/topmomo.me/assets/cam/frontend-user/assets/css2/bootstrap.min.css	(from https://topmomo.me/)
19:09:41	56021/56021	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Jan%202022%2018:15:29%20GMT	https://topmomo.me/assets/cam/frontend-user/assets/css2/style.css	C:/My%20Web%20Sites/momox3/topmomo.me/assets/cam/frontend-user/assets/css2/style.css	(from https://topmomo.me/)
19:09:41	152419/152419	---M--	200	added ('OK')	image/jpeg	etag:%22024ea216ff3ff6044720bdddc0e888ae%22	https://i.imgur.com/uVhAM6M.jpg	C:/My%20Web%20Sites/momox3/i.imgur.com/uVhAM6M.jpg	(from https://topmomo.me/)
19:09:41	28323/28323	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-6ea3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.2.0/css/font-awesome.css	C:/My%20Web%20Sites/momox3/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.2.0/css/font-awesome.css	(from https://topmomo.me/)
19:09:42	2338/2338	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Jun%202021%2013:46:40%20GMT	https://topmomo.me/assets/cam/frontend-user/assets/css2/custom.1.css	C:/My%20Web%20Sites/momox3/topmomo.me/assets/cam/frontend-user/assets/css2/custom.1.css	(from https://topmomo.me/)
19:09:42	27635/27635	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Jun%202021%2013:46:40%20GMT	https://topmomo.me/assets/cam/assets/css/bootstrap-social.css	C:/My%20Web%20Sites/momox3/topmomo.me/assets/cam/assets/css/bootstrap-social.css	(from https://topmomo.me/)
